No,제목,회사,지역,Link
1,[파견/12개월/기흥] 대기업 파이썬 개발자 모집,(주)디자인그룹나인,경기 용인시 기흥구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603250002153&src=etc*search
2,[항공우주용 첨단소재 개발사]Python 백엔드 개발자  /대리-과장급,(주)피플스카우트,서울 외,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603190002008&src=etc*search
3,드론 AI 연구원,(주)하이스트컨설팅그룹,경기 성남시 수정구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603070000269&src=etc*search
4,[마이옥션-강남/서초] 풀스택 개발자 모집,(주)엘앤씨부동산중개법인,서울 서초구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603310003166&src=etc*search
5,수출 플랫폼 서비스 개발자 채용 공지,베리링크 주식회사 (BerryLink Corp.),서울 서초구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2602220000047&src=etc*search
6,"임베디드 C, C++  개발자",(주)체스트넛,서울 금천구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603100002174&src=etc*search
7,GCP 데이터 엔지니어 모집,마이데이터(주),서울 서초구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2602020000402&src=etc*search
8,AI 솔루션 개발자 채용,파워에이치알,서울 서초구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603250000001&src=etc*search
9,클라우드 엔지니어를 구글 프리미어 파트너인 DX 선도기업에서 찾습니다,(주)퍼스트브레인,서울 강남구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603110004398&src=etc*search
10,중견기업 데이터분석 및 BI운영 (대리-과장급) 정규직 채용,프로페셔날핸즈인핸즈코리아(주),서울 강남구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603070000292&src=etc*search
11,응용 시스템 개발자 모집,엔아이스퀘어,광주 광산구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603240001032&src=etc*search
12,[제노솔루션] 모의해킹 / 취약점 점검 경력 채용,제노솔루션주식회사,서울 영등포구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603180000313&src=etc*search
13,스마트팩토리 솔루션 개발 및 운영 담당자,스마터빌드 주식회사,경기 수원시 영통구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603160004518&src=etc*search
14,Embedded SW 엔지니어,(주)스카이칩스,경기 수원시 권선구 외,https://job.incruit.com/jobdb_info/jobpost.asp?job=2602110000350&src=etc*search
15,"기구설계  (매출 5000억, 코스닥 반도체 장비 제조사)",굿커리어,서울 강남구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603300004958&src=etc*search
16,금융시스템 운영 및 개발자,(주)디투아이,서울 영등포구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603300002209&src=etc*search
17,AI개발/운영 경력사원 모집,(주)케인앤클루컨설팅,서울 영등포구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603300000268&src=etc*search
18,자동 견적모델 개발 및 운용(경력 3년이상)-자동차부품기업,(주)스카우트,경기 수원시 권선구 외,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603190000810&src=etc*search
19,HR system 고도화(과~차장급)-상장유명대기업,(주)스카우트,서울 강남구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603190000827&src=etc*search
